"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","RICE PRODUCTION (1000 tons)","RICE YIELD (Kg per ha)","WHEAT AREA (1000 ha)","WHEAT PRODUCTION (1000 tons)","WHEAT YIELD (Kg per ha)","KHARIF SORGHUM AREA (1000 ha)","KHARIF SORGHUM PRODUCTION (1000 tons)","KHARIF SORGHUM YIELD (Kg per ha)","RABI SORGHUM AREA (1000 ha)","RABI SORGHUM PRODUCTION (1000 tons)","RABI SORGHUM YIELD (Kg per ha)","SORGHUM AREA (1000 ha)","SORGHUM PRODUCTION (1000 tons)","SORGHUM YIELD (Kg per ha)","PEARL MILLET AREA (1000 ha)","PEARL MILLET PRODUCTION (1000 tons)","PEARL MILLET YIELD (Kg per ha)","MAIZE AREA (1000 ha)","MAIZE PRODUCTION (1000 tons)","MAIZE YIELD (Kg per ha)","FINGER MILLET AREA (1000 ha)","FINGER MILLET PRODUCTION (1000 tons)","FINGER MILLET YIELD (Kg per ha)","BARLEY AREA (1000 ha)","BARLEY PRODUCTION (1000 tons)","BARLEY YIELD (Kg per ha)","CHICKPEA AREA (1000 ha)","CHICKPEA PRODUCTION (1000 tons)","CHICKPEA YIELD (Kg per ha)","PIGEONPEA AREA (1000 ha)","PIGEONPEA PRODUCTION (1000 tons)","PIGEONPEA YIELD (Kg per ha)","MINOR PULSES AREA (1000 ha)","MINOR PULSES PRODUCTION (1000 tons)","MINOR PULSES YIELD (Kg per ha)","GROUNDNUT AREA (1000 ha)","GROUNDNUT PRODUCTION (1000 tons)","GROUNDNUT YIELD (Kg per ha)","SESAMUM AREA (1000 ha)","SESAMUM PRODUCTION (1000 tons)","SESAMUM YIELD (Kg per ha)","RAPESEED AND MUSTARD AREA (1000 ha)","RAPESEED AND MUSTARD PRODUCTION (1000 tons)","RAPESEED AND MUSTARD YIELD (Kg per ha)","SAFFLOWER AREA (1000 ha)","SAFFLOWER PRODUCTION (1000 tons)","SAFFLOWER YIELD (Kg per ha)","CASTOR AREA (1000 ha)","CASTOR PRODUCTION (1000 tons)","CASTOR YIELD (Kg per ha)","LINSEED AREA (1000 ha)","LINSEED PRODUCTION (1000 tons)","LINSEED YIELD (Kg per ha)","SUNFLOWER AREA (1000 ha)","SUNFLOWER PRODUCTION (1000 tons)","SUNFLOWER YIELD (Kg per ha)","SOYABEAN AREA (1000 ha)","SOYABEAN PRODUCTION (1000 tons)","SOYABEAN YIELD (Kg per ha)","OILSEEDS AREA (1000 ha)","OILSEEDS PRODUCTION (1000 tons)","OILSEEDS YIELD (Kg per ha)","SUGARCANE AREA (1000 ha)","SUGARCANE PRODUCTION (1000 tons)","SUGARCANE YIELD (Kg per ha)","COTTON AREA (1000 ha)","COTTON PRODUCTION (1000 tons)","COTTON YIELD (Kg per ha)","FRUITS AREA (1000 ha)","VEGETABLES AREA (1000 ha)","FRUITS AND VEGETABLES AREA (1000 ha)","POTATOES AREA (1000 ha)","ONION AREA (1000 ha)","FODDER AREA (1000 ha)"
"83","1976","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","357.9","753.4","2105.06","0.0","0.0","0.0","1.0","1.1","1100.0","0.1","0.1","1000.0","1.1","1.2","1090.91","5.1","7.6","1490.2","0.0","0.0","0.0","25.8","40.0","1550.39","0.0","0.0","0.0","0.5","0.3","600.0","1.4","0.5","357.14","2.55","0.68","266.67","55.1","67.0","1215.97","4.7","1.6","340.43","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","62.39","68.6","1099.54","3.2","39.8","12437.5","0.1","0.1","1000.0","3.21","4.39","7.6","0.0","0.04","0.0"
"83","1977","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","369.1","745.3","2019.24","0.0","0.0","0.0","0.7","0.9","1285.71","0.1","0.1","1000.0","0.8","1.0","1250.0","4.3","7.2","1674.42","0.0","0.0","0.0","20.4","29.4","1441.18","0.0","0.0","0.0","0.0","0.0","0.0","1.3","0.7","538.46","4.13","1.46","353.51","61.6","86.7","1407.47","7.9","3.4","430.38","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","71.56","90.1","1259.08","3.6","48.0","13333.33","0.2","0.1","500.0","3.94","3.47","7.41","0.0","0.03","0.2"
"83","1978","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","366.5","617.6","1685.13","0.0","0.0","0.0","0.4","0.7","1750.0","0.1","0.1","1000.0","0.5","0.8","1600.0","5.0","12.1","2420.0","0.0","0.0","0.0","19.5","28.7","1471.79","0.0","0.0","0.0","0.0","0.0","0.0","2.5","2.0","800.0","0.94","0.1","106.38","66.7","87.1","1305.85","7.1","2.8","394.37","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","76.12","89.9","1181.03","3.1","44.6","14387.1","0.2","0.9","4500.0","4.16","4.04","8.2","0.0","0.03","0.19"
"83","1979","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","353.2","626.1","1772.65","0.0","0.0","0.0","0.6","0.5","833.33","0.0","0.0","0.0","0.6","0.5","833.33","4.7","7.2","1531.91","0.0","0.0","0.0","21.0","31.0","1476.19","0.0","0.0","0.0","0.0","0.0","0.0","1.5","0.8","533.33","3.95","1.11","281.01","49.8","77.9","1564.26","6.6","2.6","393.94","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","71.94","80.5","1118.99","3.0","36.9","12300.0","0.2","0.6","3000.0","5.02","3.55","8.57","0.0","0.01","0.05"
"83","1980","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","266.8","433.8","1625.94","0.0","0.0","0.0","0.8","0.4","500.0","0.2","0.0","0.0","1.0","0.4","400.0","4.1","8.4","2048.78","0.0","0.0","0.0","12.0","17.1","1425.0","0.0","0.0","0.0","0.0","0.0","0.0","1.5","0.8","533.33","1.92","0.0","0.0","38.4","75.0","1953.13","5.4","2.0","370.37","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.0","0.0","0.0","65.27","77.0","1179.72","3.7","44.5","12027.03","0.1","0.5","5000.0","4.21","2.64","6.84","0.0","0.01","0.01"
"83","1981","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","286.0","514.2","1797.9","0.0","0.0","0.0","0.8","0.8","1000.0","0.1","0.0","0.0","0.9","0.8","888.89","4.2","7.0","1666.67","0.0","0.0","0.0","18.0","25.4","1411.11","0.0","0.0","0.0","0.0","0.0","0.0","1.3","0.5","384.62","2.53","1.06","418.97","50.6","52.1","1029.64","7.1","2.7","380.28","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","61.35","54.8","893.24","5.0","49.5","9900.0","0.1","0.5","5000.0","3.96","2.58","6.54","0.0","0.02","0.04"
"83","1982","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","188.0","268.0","1425.53","0.0","0.0","0.0","0.7","0.2","285.71","0.1","0.1","1000.0","0.8","0.3","375.0","5.0","7.2","1440.0","0.0","0.0","0.0","20.0","34.3","1715.0","0.0","0.0","0.0","0.0","0.0","0.0","1.5","0.6","400.0","1.64","0.51","310.98","61.8","72.3","1169.9","7.1","2.0","281.69","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","0.2","500.0","0.0","0.0","0.0","54.56","74.5","1365.47","4.9","44.2","9020.41","0.1","0.4","4000.0","3.36","2.06","5.42","0.0","0.01","0.05"
"83","1983","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","272.2","508.3","1867.38","0.0","0.0","0.0","0.7","0.5","714.29","0.1","0.1","1000.0","0.8","0.6","750.0","6.6","10.1","1530.3","0.0","0.0","0.0","17.4","11.3","649.43","0.0","0.0","0.0","0.0","0.0","0.0","1.5","0.6","400.0","2.25","0.66","293.33","72.0","90.9","1262.5","7.1","2.0","281.69","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","0.2","500.0","0.0","0.0","0.0","64.2","93.1","1450.16","3.8","34.3","9026.32","0.1","0.4","4000.0","3.62","2.27","5.9","0.0","0.01","0.01"
"83","1984","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","321.0","581.0","1809.97","0.0","0.0","0.0","0.7","0.3","428.57","0.1","0.1","1000.0","0.8","0.4","500.0","6.4","7.6","1187.5","0.1","0.1","1000.0","24.1","36.4","1510.37","0.0","0.0","0.0","0.0","0.0","0.0","1.5","0.9","600.0","3.3","1.05","318.18","95.6","150.8","1577.41","7.3","2.4","328.77","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.2","0.2","1000.0","0.0","0.0","0.0","64.47","153.4","2379.4","6.3","64.1","10174.6","0.6","0.2","333.33","4.77","2.26","7.04","0.0","0.04","0.0"
"83","1985","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","326.3","793.8","2432.73","0.0","0.0","0.0","0.6","0.7","1166.67","0.1","0.1","1000.0","0.7","0.8","1142.86","4.1","7.4","1804.88","0.0","0.0","0.0","16.3","20.5","1257.67","0.0","0.0","0.0","0.5","0.1","200.0","1.8","1.1","611.11","6.25","2.58","412.8","93.2","106.5","1142.7","5.9","2.0","338.98","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.0","0.0","0.0","72.38","108.5","1499.03","8.1","96.0","11851.85","0.5","0.3","600.0","4.97","2.44","7.41","0.0","0.01","0.02"
